Date,Object,X_AU,Y_AU,Z_AU,VX_AU_day,VY_AU_day,VZ_AU_day
A.D. 2025-Nov-30 00:00:00.0000,Mars (499),-0.1208630516871398,-1.460127633789938,-0.02763430394603713,0.014475306248422,4.891041324557765e-05,-0.0003539347681370018
A.D. 2025-Dec-01 00:00:00.0000,Mars (499),-0.1063822838370923,-1.460010013404077,-0.02798693272907963,0.01448600672188704,0.0001863864584347739,-0.0003513161645501153
A.D. 2025-Dec-02 00:00:00.0000,Mars (499),-0.09189148503838086,-1.459754750962601,-0.02833692301743335,0.01449536681422096,0.0003241923410846723,-0.0003486577799037168
A.D. 2025-Dec-03 00:00:00.0000,Mars (499),-0.07739199957730714,-1.459361523202489,-0.02868423507091496,0.01450337874303226,0.0004623148549392099,-0.0003459597033290655
A.D. 2025-Dec-04 00:00:00.0000,Mars (499),-0.06288517946872221,-1.458830020157997,-0.02902882923841104,0.01451003484266896,0.0006007406312041899,-0.0003432220270733836
A.D. 2025-Dec-05 00:00:00.0000,Mars (499),-0.04837238433345643,-1.458159945333751,-0.02937066596406634,0.01451532756717391,0.0007394561248822746,-0.0003404448470794932
A.D. 2025-Dec-06 00:00:00.0000,Mars (499),-0.03385498127141568,-1.457351015876409,-0.02970970579371073,0.01451924949604932,0.0008784476068571073,-0.0003376282649599651
A.D. 2025-Dec-07 00:00:00.0000,Mars (499),-0.01933434472950927,-1.456402962745692,-0.03004590938197262,0.01452179334110722,0.001017701168498423,-0.0003347723895825134
A.D. 2025-Dec-08 00:00:00.0000,Mars (499),-0.004811856365336425,-1.455315530885507,-0.0303792374997257,0.0145229519560958,0.001157202730633628,-0.0003318773393986323
A.D. 2025-Dec-09 00:00:00.0000,Mars (499),0.009711095092141945,-1.454088479394432,-0.03070965104126137,0.01452271834624786,0.001296938049707896,-0.0003289432447476613
A.D. 2025-Dec-10 00:00:00.0000,Mars (499),0.02423311398505508,-1.45272158169404,-0.03103711103113646,0.0145210856690985,0.001436892721074983,-0.0003259702461269206
A.D. 2025-Dec-11 00:00:00.0000,Mars (499),0.03875279787321622,-1.451214625694996,-0.03136157863112211,0.01451804722573922,0.00157705217950979,-0.0003229584880847071
A.D. 2025-Dec-12 00:00:00.0000,Mars (499),0.0532687376851852,-1.44956741396252,-0.03168301514750731,0.01451359645670678,0.001717401695708959,-0.0003199081157572544
A.D. 2025-Dec-13 00:00:00.0000,Mars (499),0.06777951787305396,-1.447779763882171,-0.03200138203852018,0.01450772695191565,0.00185792637245713,-0.0003168192783040782
A.D. 2025-Dec-14 00:00:00.0000,Mars (499),0.08228371657031872,-1.44585150782483,-0.03231664092151955,0.01450043246503786,0.001998611142531357,-0.0003136921343706272
A.D. 2025-Dec-15 00:00:00.0000,Mars (499),0.09677990575341239,-1.443782493309244,-0.03262875358010271,0.01449170692127558,0.002139440768706669,-0.0003105268542869427
A.D. 2025-Dec-16 00:00:00.0000,Mars (499),0.1112666514080489,-1.441572583162178,-0.03293768197162885,0.01448154441944275,0.002280399849965221,-0.0003073236191193506
A.D. 2025-Dec-17 00:00:00.0000,Mars (499),0.1257425137003687,-1.439221655677354,-0.03324338823522918,0.01446993923340754,0.002421472834318367,-0.0003040826187160731
A.D. 2025-Dec-18 00:00:00.0000,Mars (499),0.1402060471514865,-1.436729604773582,-0.03354583469969444,0.01445688581251135,0.002562644027346413,-0.0003008040492041822
A.D. 2025-Dec-19 00:00:00.0000,Mars (499),0.1546558008145546,-1.43409634015117,-0.03384498389077766,0.01444237878076318,0.002703897585725123,-0.0002974881110086718
